"","Symbol","company_name","sector","subsector","Enterprise Value/Revenue","rev","Revenue Per Share (ttm)","Quarterly Revenue Growth (yoy)","sql"
"428","TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","N/A",6.68e+09,"25.29","0.60%","values ('TPR', 'Tapestry, Inc.', 'Consumer Discretionary', 'Apparel, Accessories & Luxury Goods',   6680000000) union all"
"429","TRGP","Targa Resources","Energy","Oil & Gas Storage & Transportation","N/A",2.092e+10,"91.58","77.30%","values ('TRGP', 'Targa Resources', 'Energy', 'Oil & Gas Storage & Transportation',  20920000000) union all"
"430","TGT","Target Corporation","Consumer Discretionary","General Merchandise Stores","N/A",1.0786e+11,"228.46","3.50%","values ('TGT', 'Target Corporation', 'Consumer Discretionary', 'General Merchandise Stores', 107860000000) union all"
"431","TEL","TE Connectivity","Information Technology","Electronic Manufacturing Services","N/A",1.574e+10,"48.47","6.60%","values ('TEL', 'TE Connectivity', 'Information Technology', 'Electronic Manufacturing Services',  15740000000) union all"
"432","TDY","Teledyne Technologies","Information Technology","Electronic Equipment & Instruments","N/A",5.42e+09,"116.10","3.90%","values ('TDY', 'Teledyne Technologies', 'Information Technology', 'Electronic Equipment & Instruments',   5420000000) union all"
"433","TER","Teradyne","Information Technology","Semiconductor Equipment","N/A",3.31e+09,"20.65","-13.00%","values ('TER', 'Teradyne', 'Information Technology', 'Semiconductor Equipment',   3310000000) union all"
"434","TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","N/A",7.486e+10,"24.15","55.90%","values ('TSLA', 'Tesla, Inc.', 'Consumer Discretionary', 'Automobile Manufacturers',  74860000000) union all"
"435","TXN","Texas Instruments","Information Technology","Semiconductors","N/A",2.019e+10,"21.95","12.90%","values ('TXN', 'Texas Instruments', 'Information Technology', 'Semiconductors',  20190000000) union all"
"436","TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","N/A",4.417e+10,"112.53","14.40%","values ('TMO', 'Thermo Fisher Scientific', 'Health Care', 'Life Sciences Tools & Services',  44170000000) union all"
"437","TJX","TJX Companies","Consumer Discretionary","Apparel Retail","N/A",4.964e+10,"41.94","-1.90%","values ('TJX', 'TJX Companies', 'Consumer Discretionary', 'Apparel Retail',  49640000000) union all"
"438","TSCO","Tractor Supply","Consumer Discretionary","Specialty Stores","N/A",1.352e+10,"120.52","8.40%","values ('TSCO', 'Tractor Supply', 'Consumer Discretionary', 'Specialty Stores',  13520000000) union all"
"439","TT","Trane Technologies","Industrials","Building Products","N/A",1.484e+10,"62.86","9.40%","values ('TT', 'Trane Technologies', 'Industrials', 'Building Products',  14840000000) union all"
"440","TDG","TransDigm Group","Industrials","Aerospace & Defense","N/A",5.2e+09,"88.67","14.80%","values ('TDG', 'TransDigm Group', 'Industrials', 'Aerospace & Defense',   5200000000) union all"
"441","TRV","The Travelers Companies","Financials","Property & Casualty Insurance","N/A",3.626e+10,"151.30","5.70%","values ('TRV', 'The Travelers Companies', 'Financials', 'Property & Casualty Insurance',  36260000000) union all"
"442","TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","N/A",3.76e+09,"15.00","-0.40%","values ('TRMB', 'Trimble Inc.', 'Information Technology', 'Electronic Equipment & Instruments',   3760000000) union all"
"443","TFC","Truist","Financials","Regional Banks","N/A",2.219e+10,"16.69","-5.20%","values ('TFC', 'Truist', 'Financials', 'Regional Banks',  22190000000) union all"
"444","TYL","Tyler Technologies","Information Technology","Application Software","N/A",1.83e+09,"44.25","2.90%","values ('TYL', 'Tyler Technologies', 'Information Technology', 'Application Software',   1830000000) union all"
"445","TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","N/A",5.236e+10,"144.83","8.20%","values ('TSN', 'Tyson Foods', 'Consumer Staples', 'Packaged Foods & Meats',  52360000000) union all"
"446","USB","U.S. Bank","Financials","Diversified Banks","N/A",2.236e+10,"15.06","-1.90%","values ('USB', 'U.S. Bank', 'Financials', 'Diversified Banks',  22360000000) union all"
"447","UDR","UDR, Inc.","Real Estate","Residential REITs","N/A",1.48e+09,"4.66","13.70%","values ('UDR', 'UDR, Inc.', 'Real Estate', 'Residential REITs',   1480000000) union all"
"448","ULTA","Ulta Beauty","Consumer Discretionary","Specialty Stores","N/A",9.37e+09,"177.33","16.80%","values ('ULTA', 'Ulta Beauty', 'Consumer Discretionary', 'Specialty Stores',   9370000000) union all"
"449","UNP","Union Pacific Corporation","Industrials","Railroads","N/A",2.443e+10,"38.80","18.00%","values ('UNP', 'Union Pacific Corporation', 'Industrials', 'Railroads',  24430000000) union all"
"450","UAL","United Airlines Holdings","Industrials","Airlines","N/A",4.075e+10,"125.15","66.20%","values ('UAL', 'United Airlines Holdings', 'Industrials', 'Airlines',  40750000000) union all"
"451","UPS","United Parcel Service","Industrials","Air Freight & Logistics","N/A",1.0108e+11,"115.75","4.20%","values ('UPS', 'United Parcel Service', 'Industrials', 'Air Freight & Logistics', 101080000000) union all"
"452","URI","United Rentals","Industrials","Trading Companies & Distributors","N/A",1.112e+10,"155.69","17.50%","values ('URI', 'United Rentals', 'Industrials', 'Trading Companies & Distributors',  11120000000) union all"
"453","UNH","UnitedHealth Group","Health Care","Managed Health Care","N/A",3.1512e+11,"335.50","11.80%","values ('UNH', 'UnitedHealth Group', 'Health Care', 'Managed Health Care', 315120000000) union all"
"454","UHS","Universal Health Services","Health Care","Health Care Facilities","N/A",1.323e+10,"176.30","5.70%","values ('UHS', 'Universal Health Services', 'Health Care', 'Health Care Facilities',  13230000000) union all"
"455","VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","N/A",1.6489e+11,"410.44","59.30%","values ('VLO', 'Valero Energy', 'Energy', 'Oil & Gas Refining & Marketing', 164890000000) union all"
"456","VTR","Ventas","Real Estate","Health Care REITs","N/A",4.02e+09,"10.17","10.50%","values ('VTR', 'Ventas', 'Real Estate', 'Health Care REITs',   4020000000) union all"
"457","VRSN","Verisign","Information Technology","Internet Services & Infrastructure","N/A",1.37e+09,"12.44","6.80%","values ('VRSN', 'Verisign', 'Information Technology', 'Internet Services & Infrastructure',   1370000000) union all"
"458","VRSK","Verisk","Industrials","Research & Consulting Services","N/A",3.05e+09,"19.00","-0.20%","values ('VRSK', 'Verisk', 'Industrials', 'Research & Consulting Services',   3050000000) union all"
"459","VZ","Verizon","Communication Services","Integrated Telecommunication Services","N/A",1.3565e+11,"32.35","4.00%","values ('VZ', 'Verizon', 'Communication Services', 'Integrated Telecommunication Services', 135650000000) union all"
"460","VRTX","Vertex Pharmaceuticals","Health Care","Biotechnology","N/A",8.35e+09,"32.64","22.50%","values ('VRTX', 'Vertex Pharmaceuticals', 'Health Care', 'Biotechnology',   8350000000) union all"
"461","VFC","VF Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","N/A",1.179e+10,"30.36","-3.70%","values ('VFC', 'VF Corporation', 'Consumer Discretionary', 'Apparel, Accessories & Luxury Goods',  11790000000) union all"
"462","VTRS","Viatris","Health Care","Pharmaceuticals","N/A",1.719e+10,"14.20","-10.10%","values ('VTRS', 'Viatris', 'Health Care', 'Pharmaceuticals',  17190000000) union all"
"463","VICI","Vici Properties","Real Estate","Hotel & Resort REITs","N/A",2.21e+09,"2.79","100.00%","values ('VICI', 'Vici Properties', 'Real Estate', 'Hotel & Resort REITs',   2210000000) union all"
"464","V","Visa Inc.","Information Technology","Data Processing & Outsourced Services","N/A",2.931e+10,"15.38","18.70%","values ('V', 'Visa Inc.', 'Information Technology', 'Data Processing & Outsourced Services',  29310000000) union all"
"465","VNO","Vornado Realty Trust","Real Estate","Office REITs","N/A",1.84e+09,"9.62","16.80%","values ('VNO', 'Vornado Realty Trust', 'Real Estate', 'Office REITs',   1840000000) union all"
"466","VMC","Vulcan Materials Company","Materials","Construction Materials","N/A",6.62e+09,"49.79","43.60%","values ('VMC', 'Vulcan Materials Company', 'Materials', 'Construction Materials',   6620000000) union all"
"467","WAB","Wabtec","Industrials","Construction Machinery & Heavy Trucks","N/A",7.95e+09,"42.99","1.80%","values ('WAB', 'Wabtec', 'Industrials', 'Construction Machinery & Heavy Trucks',   7950000000) union all"
"468","WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","N/A",1.327e+11,"153.52","-5.30%","values ('WBA', 'Walgreens Boots Alliance', 'Consumer Staples', 'Drug Retail', 132700000000) union all"
"469","WMT","Walmart","Consumer Staples","Hypermarkets & Super Centers","N/A",5.8782e+11,"212.90","8.40%","values ('WMT', 'Walmart', 'Consumer Staples', 'Hypermarkets & Super Centers', 587820000000) union all"
"470","WBD","Warner Bros. Discovery","Communication Services","Broadcasting","N/A",1.932e+10,"19.16","220.90%","values ('WBD', 'Warner Bros. Discovery', 'Communication Services', 'Broadcasting',  19320000000) union all"
"471","WM","Waste Management","Industrials","Environmental & Facilities Services","N/A",1.944e+10,"46.85","8.80%","values ('WM', 'Waste Management', 'Industrials', 'Environmental & Facilities Services',  19440000000) union all"
"472","WAT","Waters Corporation","Health Care","Health Care Distributors","N/A",2.9e+09,"47.72","4.80%","values ('WAT', 'Waters Corporation', 'Health Care', 'Health Care Distributors',   2900000000) union all"
"473","WEC","WEC Energy Group","Utilities","Electric Utilities","N/A",8.98e+09,"28.49","26.90%","values ('WEC', 'WEC Energy Group', 'Utilities', 'Electric Utilities',   8980000000) union all"
"474","WFC","Wells Fargo","Financials","Diversified Banks","N/A",7.516e+10,"19.59","-7.50%","values ('WFC', 'Wells Fargo', 'Financials', 'Diversified Banks',  75160000000) union all"
"475","WELL","Welltower","Real Estate","Health Care REITs","N/A",5.42e+09,"12.26","29.10%","values ('WELL', 'Welltower', 'Real Estate', 'Health Care REITs',   5420000000) union all"
"476","WRK","WestRock","Materials","Paper Packaging","N/A",2.094e+10,"79.77","14.60%","values ('WRK', 'WestRock', 'Materials', 'Paper Packaging',  20940000000) union all"
"477","WY","Weyerhaeuser","Real Estate","Specialized REITs","N/A",1.064e+10,"14.22","-5.40%","values ('WY', 'Weyerhaeuser', 'Real Estate', 'Specialized REITs',  10640000000) union all"
"478","WHR","Whirlpool Corporation","Consumer Discretionary","Household Appliances","N/A",2.062e+10,"359.79","-12.80%","values ('WHR', 'Whirlpool Corporation', 'Consumer Discretionary', 'Household Appliances',  20620000000) union all"
"479","WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","N/A",1.089e+10,"8.95","9.10%","values ('WMB', 'Williams Companies', 'Energy', 'Oil & Gas Storage & Transportation',  10890000000) union all"
"480","GWW","W. W. Grainger","Industrials","Industrial Machinery","N/A",1.422e+10,"276.83","19.60%","values ('GWW', 'W. W. Grainger', 'Industrials', 'Industrial Machinery',  14220000000) union all"
"481","WYNN","Wynn Resorts","Consumer Discretionary","Casinos & Gaming","N/A",3.9e+09,"33.98","-8.20%","values ('WYNN', 'Wynn Resorts', 'Consumer Discretionary', 'Casinos & Gaming',   3900000000) union all"
"482","XYL","Xylem Inc.","Industrials","Industrial Machinery","N/A",5.22e+09,"28.98","1.00%","values ('XYL', 'Xylem Inc.', 'Industrials', 'Industrial Machinery',   5220000000) union all"
"483","YUM","Yum! Brands","Consumer Discretionary","Restaurants","N/A",6.68e+09,"22.91","2.10%","values ('YUM', 'Yum! Brands', 'Consumer Discretionary', 'Restaurants',   6680000000) union all"
"484","ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments","N/A",5.8e+09,"109.41","6.60%","values ('ZBRA', 'Zebra Technologies', 'Information Technology', 'Electronic Equipment & Instruments',   5800000000) union all"
"485","ZBH","Zimmer Biomet","Health Care","Health Care Equipment","N/A",7.92e+09,"37.85","1.00%","values ('ZBH', 'Zimmer Biomet', 'Health Care', 'Health Care Equipment',   7920000000) union all"
"486","ZION","Zions Bancorporation","Financials","Regional Banks","N/A",2.92e+09,"19.30","2.30%","values ('ZION', 'Zions Bancorporation', 'Financials', 'Regional Banks',   2920000000) union all"
"487","ZTS","Zoetis","Health Care","Pharmaceuticals","N/A",7.99e+09,"16.93","5.30%","values ('ZTS', 'Zoetis', 'Health Care', 'Pharmaceuticals',   7990000000) union all"
